index,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
900,India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",03-03-2026 15:00:00,16.7602,77.1428,SO2,3.0,14.0,9.0
901,India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",03-03-2026 15:00:00,10.073232,76.302765,PM10,71.0,81.0,76.0
902,India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",03-03-2026 15:00:00,11.875,75.3732,SO2,1.0,12.0,4.0
903,India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",03-03-2026 15:00:00,11.875,75.3732,OZONE,27.0,32.0,30.0
904,India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",03-03-2026 15:00:00,8.8787,76.6073,CO,14.0,17.0,16.0
905,India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",03-03-2026 15:00:00,8.5637,76.8865,PM10,53.0,114.0,90.0
906,India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",03-03-2026 15:00:00,19.786089,72.757971,NO2,8.0,49.0,22.0
907,India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",03-03-2026 15:00:00,19.9629,79.298714,NO2,30.0,33.0,31.0
908,India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",03-03-2026 15:00:00,19.9629,79.298714,NH3,1.0,1.0,1.0
909,India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",03-03-2026 15:00:00,19.9775302,79.2337086,NO2,6.0,20.0,12.0
910,India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",03-03-2026 15:00:00,19.9775302,79.2337086,OZONE,2.0,130.0,73.0
911,India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",03-03-2026 15:00:00,21.001264,75.565602,PM2.5,62.0,405.0,148.0
912,India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",03-03-2026 15:00:00,21.001264,75.565602,CO,18.0,52.0,23.0
913,India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",03-03-2026 15:00:00,23.8640158,78.80289321,SO2,2.0,9.0,5.0
914,India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",03-03-2026 15:00:00,24.10897,82.64558,NH3,4.0,5.0,4.0
915,India,Madhya Pradesh,Ujjain,"Mahashweta Nagar, Ujjain - MPPCB",03-03-2026 15:00:00,23.1633321,75.800225,OZONE,7.0,78.0,51.0
916,India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",03-03-2026 15:00:00,19.10122,74.73339,SO2,21.0,42.0,27.0
917,India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",03-03-2026 15:00:00,20.719516,77.000253,NH3,4.0,9.0,6.0
918,India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",03-03-2026 15:00:00,20.9402359,77.7895248,NO2,6.0,35.0,16.0
919,India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",03-03-2026 15:00:00,20.9402359,77.7895248,OZONE,17.0,67.0,52.0
920,India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",03-03-2026 15:00:00,20.939198,77.765701,NO2,3.0,61.0,17.0
921,India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",03-03-2026 15:00:00,19.8389439,75.244448,NO2,16.0,24.0,19.0
922,India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",03-03-2026 15:00:00,19.8389439,75.244448,CO,2.0,132.0,30.0
923,India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",03-03-2026 15:00:00,19.863756,75.321188,NH3,2.0,5.0,4.0
924,India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",03-03-2026 15:00:00,23.218135,79.95777,NO2,6.0,85.0,38.0
925,India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",03-03-2026 15:00:00,23.218135,79.95777,CO,4.0,123.0,18.0
926,India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",03-03-2026 15:00:00,23.50016,80.23284,NH3,3.0,8.0,4.0
927,India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",03-03-2026 15:00:00,23.10844,77.511428,CO,6.0,98.0,37.0
928,India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",03-03-2026 15:00:00,22.624758,75.675238,PM2.5,37.0,322.0,146.0
929,India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",03-03-2026 15:00:00,23.163174,79.973061,PM2.5,23.0,143.0,66.0
930,India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",03-03-2026 15:00:00,23.142888,79.916147,NH3,2.0,2.0,2.0
931,India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",03-03-2026 15:00:00,19.16485,73.23409,NH3,5.0,9.0,7.0
932,India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",03-03-2026 15:00:00,19.309073,73.057223,OZONE,13.0,86.0,49.0
933,India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",03-03-2026 15:00:00,19.786089,72.757971,PM10,80.0,140.0,110.0
934,India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",03-03-2026 15:00:00,19.854616,75.905894,PM2.5,42.0,78.0,57.0
935,India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",03-03-2026 15:00:00,19.854616,75.905894,NH3,2.0,5.0,4.0
936,India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",03-03-2026 15:00:00,19.854616,75.905894,CO,10.0,78.0,14.0
937,India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",03-03-2026 15:00:00,19.192056,72.9585188,CO,15.0,64.0,57.0
938,India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",03-03-2026 15:00:00,16.6870449,74.2505872,PM2.5,34.0,104.0,58.0
939,India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",03-03-2026 15:00:00,16.6870449,74.2505872,NH3,3.0,4.0,4.0
940,India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",03-03-2026 15:00:00,18.39963,76.57452,PM2.5,41.0,84.0,65.0
941,India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",03-03-2026 15:00:00,18.39963,76.57452,CO,16.0,60.0,30.0
942,India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",03-03-2026 15:00:00,18.39963,76.57452,OZONE,10.0,40.0,31.0
943,India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",03-03-2026 15:00:00,18.1023399,73.4783687,PM2.5,59.0,117.0,76.0
944,India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",03-03-2026 15:00:00,19.19709,72.82204,NO2,26.0,114.0,54.0
945,India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",03-03-2026 15:00:00,19.19709,72.82204,NH3,4.0,12.0,7.0
946,India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",03-03-2026 15:00:00,19.19709,72.82204,SO2,1.0,42.0,17.0
947,India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",03-03-2026 15:00:00,19.19709,72.82204,OZONE,8.0,81.0,64.0
948,India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",03-03-2026 15:00:00,18.96702,72.84214,CO,38.0,84.0,69.0
949,India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",03-03-2026 15:00:00,19.1878657,72.8304069,NH3,1.0,24.0,5.0
950,India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",03-03-2026 15:00:00,18.897756,72.81332,SO2,4.0,39.0,13.0
951,India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",03-03-2026 15:00:00,18.897756,72.81332,CO,13.0,71.0,49.0
952,India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",03-03-2026 15:00:00,18.897756,72.81332,OZONE,36.0,75.0,67.0
953,India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB",03-03-2026 15:00:00,19.1375,72.915056,PM2.5,45.0,315.0,158.0
954,India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",03-03-2026 15:00:00,19.2058,72.8682,NO2,30.0,30.0,30.0
955,India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",03-03-2026 15:00:00,19.2058,72.8682,NH3,3.0,3.0,3.0
956,India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",03-03-2026 15:00:00,19.2058,72.8682,SO2,24.0,28.0,25.0
957,India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",03-03-2026 15:00:00,19.215859,72.831718,NO2,1.0,8.0,2.0
958,India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",03-03-2026 15:00:00,19.215859,72.831718,SO2,4.0,18.0,9.0
959,India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",03-03-2026 15:00:00,19.215859,72.831718,CO,16.0,116.0,41.0
960,India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",03-03-2026 15:00:00,19.0632143,72.8456324,PM10,42.0,192.0,91.0
961,India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",03-03-2026 15:00:00,19.0632143,72.8456324,CO,1.0,11.0,3.0
962,India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",03-03-2026 15:00:00,19.1653323,72.922099,NH3,2.0,3.0,3.0
963,India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",03-03-2026 15:00:00,19.23241,72.86895,OZONE,10.0,59.0,22.0
